City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
80,Yellowknife,CA,62.456,-114.3525,-9.0,76,20,5.75,few clouds
81,Lorengau,PG,-2.0226,147.2712,80.92,70,11,2.55,few clouds
82,Hermanus,ZA,-34.4187,19.2345,80.01,59,63,3.0,broken clouds
83,Hansot,IN,21.5833,72.8,82.4,39,1,5.75,smoke
84,Mbale,UG,1.0821,34.175,84.97,26,94,4.41,overcast clouds
85,Fort Nelson,CA,58.8053,-122.7002,5.0,78,90,9.22,light snow
86,West Richland,US,46.3043,-119.3614,35.6,87,1,1.43,clear sky
87,Bay Roberts,CA,47.5999,-53.2648,45.0,61,20,14.97,few clouds
88,Qaanaaq,GL,77.484,-69.3632,-1.7,64,99,3.15,overcast clouds
89,Faya,SA,18.3851,42.4509,71.6,64,0,6.91,clear sky
90,Port Alfred,ZA,-33.5906,26.891,77.0,71,82,5.01,broken clouds
91,Saldanha,ZA,-33.0117,17.9442,75.2,60,33,6.91,scattered clouds
92,Paraiso,CR,9.8383,-83.8656,81.0,56,0,17.27,clear sky
93,Denizli,TR,37.8402,29.0698,51.8,46,0,11.5,clear sky
94,Bengkulu,ID,-3.8004,102.2655,77.14,83,100,5.19,overcast clouds
95,Carnarvon,AU,-24.8667,113.6333,80.6,78,0,12.66,clear sky
96,Airai,TL,-8.9266,125.4092,61.21,95,100,1.41,overcast clouds
97,Mareeba,AU,-17.0,145.4333,77.0,83,75,4.61,broken clouds
98,Dandong,CN,40.1292,124.3947,39.29,85,10,0.65,clear sky
99,Waipawa,NZ,-41.4122,175.5153,53.6,82,1,5.75,clear sky
100,Bethel,US,41.3712,-73.414,37.99,28,1,10.36,clear sky
101,San Carlos,VE,9.6612,-68.5827,94.86,35,43,2.98,scattered clouds
102,Kavieng,PG,-2.5744,150.7967,81.5,64,0,4.92,clear sky
103,Yar-Sale,RU,66.8333,70.8333,-12.41,71,82,9.86,broken clouds
104,Avarua,CK,-21.2078,-159.775,77.0,88,40,6.91,scattered clouds
105,Klaksvik,FO,62.2266,-6.589,41.0,93,75,29.93,broken clouds
106,Bayan,CN,46.0833,127.4,23.97,81,0,3.76,clear sky
107,Cabo San Lucas,MX,22.8909,-109.9124,66.99,77,1,8.05,clear sky
108,Coihaique,CL,-45.5752,-72.0662,64.4,45,0,3.44,clear sky
109,Port Augusta,AU,-32.5,137.7667,60.8,55,0,17.27,clear sky
