City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kaseda,31.4167,130.3167,55.4,62,75,13.8,JP,2021-03-13 10:02:48
68,Saint George,37.1041,-113.5841,37.0,80,90,4.61,US,2021-03-13 09:59:58
69,Atuona,-9.8,-139.0333,79.3,62,100,3.38,PF,2021-03-13 10:02:48
70,Bodo,67.28,14.405,36.0,69,75,18.41,NO,2021-03-13 10:02:48
71,Kapaa,22.0752,-159.319,73.0,88,75,14.97,US,2021-03-13 10:02:48
72,Yellowknife,62.456,-114.3525,-7.01,84,1,11.5,CA,2021-03-13 10:02:48
73,Busselton,-33.65,115.3333,68.0,61,0,3.0,AU,2021-03-13 10:00:19
74,Buala,-8.145,159.5921,79.72,81,100,6.49,SB,2021-03-13 10:02:49
75,Port Alfred,-33.5906,26.891,97.09,31,18,3.22,ZA,2021-03-13 10:02:49
76,Atar,20.5169,-13.0499,64.4,29,28,2.3,MR,2021-03-13 10:02:49
77,Oistins,13.0667,-59.5333,77.0,73,40,17.27,BB,2021-03-13 10:02:49
78,Los Llanos De Aridane,28.6585,-17.9182,66.2,59,75,9.22,ES,2021-03-13 10:02:49
79,Tromso,69.6496,18.957,30.0,86,90,12.66,NO,2021-03-13 10:02:49
80,Scottsboro,34.6723,-86.0341,60.01,100,90,1.36,US,2021-03-13 10:02:50
81,Te Anau,-45.4167,167.7167,51.39,87,3,4.79,NZ,2021-03-13 10:01:03
82,Fortuna,40.5982,-124.1573,46.99,87,90,3.29,US,2021-03-13 10:02:50
83,Birin,26.8865,88.0718,73.67,23,100,8.14,NP,2021-03-13 10:02:50
84,La Ronge,55.1001,-105.2842,28.4,59,87,5.17,CA,2021-03-13 10:02:50
85,Vila Velha,-20.3297,-40.2925,73.99,88,40,3.44,BR,2021-03-13 10:02:51
86,Yinchuan,38.4681,106.2731,68.94,19,60,5.53,CN,2021-03-13 10:01:25
87,Parintins,-2.6283,-56.7358,72.39,97,71,2.28,BR,2021-03-13 10:02:51
88,Pahrump,36.2083,-115.9839,39.0,79,100,2.77,US,2021-03-13 09:59:57
89,Oga,46.4631,10.347,55.0,41,0,13.8,IT,2021-03-13 10:02:51
90,Mahebourg,-20.4081,57.7,87.8,66,40,11.5,MU,2021-03-13 10:02:52
91,Victoria,22.2855,114.1577,73.0,74,4,1.01,HK,2021-03-13 09:59:07
92,Saint-Pierre,-21.3393,55.4781,84.2,65,75,25.32,RE,2021-03-13 10:00:07
93,Segovia,41.1667,-4.0,50.0,59,3,1.01,ES,2021-03-13 10:00:44
94,Namibe,-15.1961,12.1522,75.2,88,90,4.41,AO,2021-03-13 10:02:53
95,Mitsamiouli,-11.3847,43.2844,83.53,71,12,4.43,KM,2021-03-13 10:02:53
96,Dali,25.7,100.1833,70.68,33,1,7.05,CN,2021-03-13 10:02:32
97,Wajima,37.4,136.9,44.6,100,75,9.22,JP,2021-03-13 10:01:20
98,Kaitangata,-46.2817,169.8464,55.99,80,1,3.18,NZ,2021-03-13 10:02:53
99,Korla,41.7597,86.1469,66.45,19,0,22.35,CN,2021-03-13 10:02:44
100,Norman Wells,65.282,-126.8329,-5.8,71,75,9.22,CA,2021-03-13 10:02:53
101,Biograd Na Moru,43.9433,15.4519,61.0,72,20,5.75,HR,2021-03-13 10:02:53
102,Governador Valadares,-18.8511,-41.9494,69.48,92,0,1.79,BR,2021-03-13 10:02:53
103,Bambous Virieux,-20.3428,57.7575,87.8,66,40,11.5,MU,2021-03-13 10:02:53
104,Naze,28.3667,129.4833,64.4,68,75,12.66,JP,2021-03-13 09:58:18
